Id,brand
563,4UCYCLING
441,ACHILLEA
422,ACHIOU
292,ADIDAS
1249,ALVA
891,AMAZON ESSENTIALS
664,AMAZONBASICS
459,AMILIASHP
878,AMIVOO
1406,ANDREW SCOTT
433,ANN ARBOR T-SHIRT CO.
459,AOLIGE
602,ARCTIX
411,AVIDLOVE
412,BALEAF
1035,BALEGA
887,BETSEY JOHNSON
681,BIG MO'S TOYS
297,BODYJ4YOU
686,BOSE
286,BOSTANTEN
363,BTFB
180,BTFBM
848,C.C
523,CALVIN KLEIN
601,CAPEZIO
571,CARHARTT
367,CARTER'S
591,CASIO
582,CHAMPION
639,CHEROKEE
437,CHOK.LIDS
522,CHOOKA
688,CISMARK
350,CNMUDONSI
588,COACH
1036,COLUMBIA
590,COMFORT COLORS
602,COMMANDO
1010,COSOMALL
1281,COVERYOURHAIR
378,CRAZY DOG T-SHIRTS
370,CROCS
716,DALIX
468,DARN TOUGH
897,DG HILL
508,DIANE & GEORDI
460,DICKIES
1033,DISNEY
543,DOCTOR UNICORN
766,DOKOTOO
816,DR. MARTENS
525,DREAMINGBOX
474,DUOFOLD
459,DUPONT
459,DUUFIN
781,DUUFIN
363,ELLIE SHOES
1186,EMBER
459,ENJOY HOLIDAY 1981
780,EPEIUS
702,ETERNITY J.
761,EVER FAITH
545,EVERBELLUS
681,EVERSWE
927,EVRIDWEAR
431,FEARLESS TAPE
612,FELINA
1122,FESCIORY
464,FORUM NOVELTIES
592,FOSSIL
985,FRALOSHA
865,FREDD MARSHALL
793,FRENCH TOAST
1175,FROGG TOGGS
310,FRUIT OF THE LOOM
1209,FRYE
564,FZ FANTASTIC ZONE
588,GAMEHIDE
431,GENOVEGA
459,GILDAN
905,GINASY
626,GRINDERPUNCH
367,GÙCCÌ
1012,HANES
650,HANES ULTIMATE
654,HATBUTIK.
314,HENNY RUE
539,HJTT
457,HLKZONE
530,HOEREV
559,HOMELEX
226,HOT FEET
382,HUE
855,HZMAN
369,IBTOM CASTLE
529,IFANS
531,IMPRESA
627,ISEASOO
528,ISOTONER
625,ITSLIFE
519,JANSPORT
1078,JASGOOD
536,JEFFERIES SOCKS
1099,JERZEES
377,JESSICA SIMPSON
583,JISEN
680,JOBAKIDS
482,JOYOLDELF
871,JOYSON
504,JUST MY SIZE
809,K-LORRA
365,KAIMINGQIAN
1313,KAMIK
446,KATE SPADE NEW YORK
311,KATTEE
528,KAVU
1477,KBETHOS
739,KENNETH COLE REACTION
540,KING'S CAMO
407,KIRUNDO
1381,LA12ST
455,LADYSLIM BY NUVOFIT
446,LATALY
700,LAVEMI
760,LEG AVENUE
1465,LEG ELEGANT
426,LEGENDARY WHITETAILS
772,LEVI'S
882,LISIANTHUS
693,LOCK AND LOVE
1078,LOUNGEFLY
483,LUVABLE FRIENDS
495,LUWINT
455,MAAMGIC
461,MARVEL
545,MAXDOT
521,MEETSUN
514,MERRY'S
850,MEVECCO
601,MICHAEL KORS
1341,MINIHOPE
478,MINUS33 MERINO WOOL
558,MIRITY
447,MOMCOZY
532,MOOCHI
667,MORECOO
613,MOSS ROSE
319,MYFRIDAY
653,N.N.G
793,N'ICE CAPS
752,NATURAL NEO
773,NEW BALANCE
811,NEWCOSPLAY
453,NICKELODEON
295,NIIDOR
607,NIKE
540,NINTENDO
806,NITAGUT
722,NO NONSENSE
833,NY THREADS
851,NYFASHION101
455,OAK LEATHERS
646,OLIEYE
394,OMYSTYLE
588,OPRET
470,ORDENADO
401,OROLAY
482,ORORO
381,OSPREY
800,OUBER
744,OUTDOOR CAP
858,PARLOVABLE
372,PÁW PATROL
607,PEARL
681,PEMBROOK
872,PENDLETON
630,PEOPLE SOCKS
521,PEPPA PIG
551,PINCNEL
944,PLAYTEX
1474,PLUM FEATHERS
921,POLÔ RALPH LAURÊN
307,PRETTYGARDEN
443,PUMA
596,REALER
471,REALTREE
1050,RED KAP
727,RELIC BY FOSSIL
605,RETRO GONG
470,ROCKDOVE
497,RTBOFY
1176,RUBIE'S
548,RUSSELL ATHLETIC
686,SANSTHS
617,SAPHIROSE
546,SATINIOR
617,SAUCONY
934,SEDRINUO
763,SEVEN APPAREL
539,SHAPERMINT
693,SHAPERX
867,SHIRATORI
891,SHOCK DOCTOR
1605,SILVER LILLY
957,SIMPLE JOYS BY CARTER'S
543,SIMPLE WISHES
887,SLAIXIU
398,SMITH OPTICS
946,SOJOS
389,SOPERWILLTON
707,SOREL
594,SOUTHPOLE
1180,SPALDING
951,SPERRY TOP-SIDER
457,SPOTTED ZEBRA
721,STELLE
478,STYLA HAIR
378,SWEETV
641,TAGOO
763,TANG SONG
851,TEEHEE KIDS
1353,TEEHEE SOCKS
639,THE CHILDREN'S PLACE
566,THE COMFY
955,THE DROP
555,THE NORTH FACE
391,THORLOS
323,TIMEX
776,TOMS
669,TOUGHERGUN
749,TRALEUBIE
619,TRAVELAMBO
633,TRAVELON
749,TRENDOUX
227,TURTLE FUR
1363,UGG
884,UMBRELLALABORATORY
700,UNDER ARMOUR
735,URBAN COCO
444,VERO MONTE
387,VOCHIC
449,WALLS
461,WANDER
585,WANTDO
534,WARNER'S
610,WIRARPA
868,WRANGLER
237,YACHT & SMITH
448,YFN
397,YIANNA
398,YOICY
254,YZKKE
